model,rows,cols,dense_nnz,sparse_nnz,density,std_A_sparse,scaled_A_sparse,dense_load,sparse_load,dense_solve,sparse_solve,dense_total,sparse_total,dense_rss_delta,sparse_rss_delta,dense_status,sparse_status,dense_objective,sparse_objective,obj_diff,dense_primal,sparse_primal,dense_dual,sparse_dual,dense_gap,sparse_gap,dense_iters,sparse_iters,obj_pass,sol_pass,res_primal_pass,res_dual_pass,status_pass
afiro,27,32,83,83,0.09606481481481481,True,True,0.0008796000001893844,0.0006565000003320165,0.011323400000037509,0.014499099999738974,0.012203000000226893,0.01515560000007099,,,optimal,optimal,-464.7531032020222,-464.75310320202175,4.547473508864641e-13,4.9679726998874685e-09,4.968640610059083e-09,7.456657513671416e-11,7.456679718131909e-11,7.550446968567843e-08,7.550447060200893e-08,8,8,True,True,True,True,True
blend,74,83,491,491,0.07994138717030283,True,True,0.003175800000462914,0.0033333999999740627,0.016238600001088344,0.019747100001040963,0.019414400001551257,0.023080500001015025,,,optimal,optimal,-30.812149660447744,-30.81214966044783,8.526512829121202e-14,6.937809720991296e-09,6.9379251234272306e-09,3.274785754070177e-11,3.2748665106360604e-11,6.393196461308236e-09,6.3931949295822094e-09,9,9,True,True,True,True,True
sc205,205,203,551,551,0.0132404181184669,True,True,0.0020456000002013752,0.0019339999998919666,0.04058599999916623,0.026461199999175733,0.04263159999936761,0.0283951999990677,,,optimal,optimal,-52.2020598569221,-52.20205985692199,1.0658141036401503e-13,1.730272458644322e-08,1.7302880905845086e-08,8.687150457907251e-12,8.687150413439676e-12,2.6742225472899984e-08,2.674222783229496e-08,10,10,True,True,True,True,True
pilot4_plain,410,1000,5141,5141,0.012539024390243902,True,True,0.011129000000437372,0.012204999999084976,1.1418493000001035,0.49207139999998617,1.152978300000541,0.5042763999990711,,,stalled,stalled,-2581.1066350294914,-2581.049519887153,0.05711514233826165,0.16331456658951993,0.13658409144939548,6.157664534143598e-06,4.855243317241257e-06,1.0831461943133663e-05,6.080682529229083e-06,72,85,False,False,False,False,True
pilot87,2030,4883,73152,73152,0.007379780458794914,True,True,0.13985539999885077,0.16104840000116383,82.0891431,24.310608400001,82.22899849999885,24.471656800002165,,,stalled,stalled,301.7448690084004,301.7925818255668,0.04771281716637077,3.4658090432250683e-06,4.029753636156444e-05,3.11411652746748e-06,4.9118708051921336e-06,3.5273851695358544e-06,5.809972499285887e-06,63,33,False,False,False,False,True
